article_id,event_id,state_code,title,source_name,source_url,url_resolved,published_date,fetched_via,is_primary,state_basis,classifier,relevance_score,matched_terms
ART-9058CCF82B,EVT-000DBB79,IN-GJ,Perplexity AI Explores India R&D Presence As Gujarat Courts Global Tech Giants,BW Businessworld,https://news.google.com/rss/articles/CBMivwFBVV95cUxOSklaQ3loZ2dtT3dYeTNaNHBvUHNzbHV1aWFYS1pJcE5BN3dFVl9rV0pJSmlfQXZCdHlmLVpYdDlVb1JyZS1RZnJMMWhmMElfcUFGS2Njc2NOYkl6eDBwcFUySmtXbkFabVR6TGUtMXQySWIxb3Zrdl9IVWtySE94WUtGNDBTMW5GWGFSR0FyX0x3V1JURlFEV1BROUhuRzFDOU5IbUdjRGJQUkozSHBXSDVZZnRsZGZBcnNRMG1Ldw?oc=5,false,2026-08-19,google_news_rss,true,text,rules+semantic,0.111,ai:ai; gov:state_named+action
ART-73C08F4445,EVT-0012277D,IN-KA,Karnataka to set up exclusive AI cell to power policy and scheme delivery,The Times of India,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNQU11NWk2YkplZ2xTNHVSZ1MyRHYtT2ViNF92SFpfMGJFZ0plZzZWczBXZmV6STR3UTZlZHRicjJ0a1AyOFZHVVpaOU1fOWlYTFRmVXhoMG5ERzJRSTU5bDZBOTVIZjhGQ3NkVkg1RnFKNEN3aDI2bzExejlzbXdLTUJVQ0ZWZE9TWDRhZUYwWkE0RXJIVjV6U2VvRlh1Qm1HTEpRbFUtOHFybDI2eE01UjNNZ1dUYS1yZDhrZGx3ZVFHREVlbFNnakNPUFRUNG1ITDZWeHRPT0NGMGNxeFdHQUFPR3nSAeoBQVVfeXFMTjMwQzdJNENNZGRudEFLb3lvc1pjSWZ4QlQ3NEpkQjEtWTNXZWJmNlBJNE84eWxaOHdLYTNFU0hibWVuWmowUzJ4eThsU253VDdpdkx4bVk3YVNyVy05RjFIc05LdV9LZFE4Yk9RM0IyYXBRLWxRVGhnSDhKaEdxa1FxV2FDMHVSOXN0aGpCdHo4RWJxZVlZX3FKckpkeGhKaFlqcFByTWZ3N1ZUSXUwbHJqZVROTUQ0N2lFbTdiclh3VlNZVDJpc3VfVXk1TU9mb1oyR2Nody1SclhKN0ZiLUlDSjdGRzFid3l3?oc=5,false,2026-03-02,google_news_rss,true,text,rules+semantic,0.136,ai:ai; gov:policy|scheme
ART-449FC67086,EVT-0075B453,IN-KA,"Australia eyes AI, cybersecurity research partnerships with Karnataka",Deccan Herald,https://news.google.com/rss/articles/CBMivgFBVV95cUxNSFI3YVlLYUsxVFRJeVp4TkFFa2hXd2NqdC1HVTlFWHlvSnFWOFd2OGFJdWVfamFnSzgzVEZMNGk0SGl1LU5kOGd3TExFcUFPVFYzSHRDWW5ZbmtTU3JvSmVPb3N6Z1VzNGtNdXk4VHpONVktQkdpeGNaMmd1YzhweUduVTQ5MkJ6NHE1cllKRURZdW5MU19fNWQzSVJzSHo1WGZ3UDdUQlBwMGVJSkZPbk1NUGw2NTVyeWx3eklB?oc=5,false,2026-08-03,google_news_rss,true,text,rules+semantic,0.131,ai:ai; gov:partner*
ART-6E736F1F65,EVT-00DE3B48,IN-TN,Tamil Nadu to roll out AI-enabled system for faster building plan approvals,The New Indian Express,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOQlRKNXVZajlaVzRVUVhyaGRoT3JkcXloQ0djYjBHem9oRGplcjZFSGJJTGRMSjlkb1luQ25obHlMZ0lMNC1WdlYzLVRDZ3hkOElnSDJvN3NLTkFXRXZuYTV2SEE0Q2ltLS12TXNoTlo2MGdibVhTX2VWZzh6ZlR4cE1WYWg2NHpTbWE4eDRTd0JudFpfN0ozWkItNE51b0pLUnNUeXFGdzI3Yzk4VGNKYWluYm1XZV81UnptNXVlVzl5cEswcWdXSnl0RnVCaFViakNPdNIB4gFBVV95cUxQSWxybm9sYnV2RGlQQWVsZjZubjYxRVBYTGVDRVdWT3ZUNE5FbTRwcW9jMXJuY2xiRnVZTXpWMjdMR1cwbk14ZnlFZUN2RzVval92RklIeWZhTnYxZXNuNnB3LXNJdVYyNklvRUJ1NHBibU4taE9TRkJqWFBEc21SV3F2eDZfemF1UHIwN3Z6cUJHZVkzaXJSZmhPd0JMeTd6VkloRE9Ta3ZpdjJsR0JBcjk4OU1uVVJGdDVtNDhmOEJVWUdUTVYtV0JzUnEyVWhxV2tacUtVMTdZcno2amZybmdB?oc=5,false,2026-08-05,google_news_rss,true,text,rules+semantic,0.121,ai:ai|ai enabled; gov:state_as_subject
ART-14A978D020,EVT-0108C7F7,IN-TG,AI in Healthcare 2.0 conference inaugurated at Yashoda Hospitals in Hyderabad,Telangana Today,https://news.google.com/rss/articles/CBMipwFBVV95cUxPT3JVQ0poOHZJMmYxd3k1U2ZwVGJKNVZSVnVTSTRuUTFweF9SZzBHTFZjcTV5dVJxR25rN0s5TWkyZ1RfSG1vaWRNSEFzZ3VMTk0xSXp5MUx3a2RKNWxtYTdjNlJYRVR4RU81V3NHeGExUzZqVlJrNFFNal82dHNMb1BIS2t3eFExRFh6WHFKMk40TWJoVXhCVGpoRFA0d0R6Z0V4RFdyaw?oc=5,false,2026-06-13,google_news_rss,true,text,rules+semantic,-0.027,ai:ai; gov:state_named+action
ART-3E1F558AE0,EVT-0147D170,IN-MH,India looking forward to French President’s visit: PM Modi,Telangana Today,https://telanganatoday.com/india-looking-forward-to-french-presidents-visit-pm-modi,true,2026-02-17,outlet_rss,true,text_multi_state,rules+semantic,0.072,ai:ai; gov:minister
ART-E0BEE700A7,EVT-014A439C,IN-MH,Maharashtra Government Developing AI Tool With IIT Bombay To Identify Suspected Illegal Bangladeshi Immigrants,swarajyamag.com,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQejBSajBNWEVwenhWblpyaFVqUWlTaENfNDVlVDhhOW1aSnFteE9QbUlCMDY0SE9MckVWd29tNlFBQzRGSlRJWXpLbk8tcGk5MENyZHBiM0RNc2tNYWdEdGtJaF93dlAxaTZ0QWMwdzhDcUVKNHllOUF3QXRUWlBkLXdrek9xbUFCMkZ5OWZBYXVEWlNkSEVvbWczNkU0S3JwSEdhdXhBTUI3Z2FfQUhOaVA3aElYaEtfdWU3a2RaRnI0TGtVUENYUnNCVXJiNktRTHN3TXhVTW0wTll4NEHSAe4BQVVfeXFMTUtpaTNTTU5tbm1RNEVtVXRTQXprNkp0T0tPTmZqd3dTOE1qX1RweEZTVG9sanQyZ05KbDkzUXZKcDB5dEwtUjcyRnQ2OFI0MHlXajNRRjZYWjhJM2NOQks0VDJKajFFaEkwcy11VFBSOWVMQUtjaDVlX21jTzJfMXdJLVcyYm9oQkV0bS1GSE85NndGcVd4WlRjc3o4WDlHbWJHRmk4ZHVZeFFlcTdxV0FvdXhxcG85MHJraUFTSVdkNGlxVG1IWEtrY19VUmNvcXU2V0dRZGE3cC1VejRKNHF6UWU5YzlaS3ZjLUdrZw?oc=5,false,2026-01-23,google_news_rss,false,text,rules+semantic,0.049,ai:ai; gov:government
ART-C65CB27441,EVT-014A439C,IN-MH,Maharashtra govt with IIT-Bombay building AI tool to ‘identify’ illegal Bangladeshis | India News,Hindustan Times,https://news.google.com/rss/articles/CBMi3gFBVV95cUxNTFFpeE9pU0FpNDNrZmhOQ1pGdUU4V3ZCOXFrMmlhbFFzOXpjNFYxeVA4d193Sm1fdTJHSmRzamhCaFIwQXNMejZCb3JVcXM5WVhtQ1ZzSEZQemZzR3h3OEJteHAwMThUN0lWMHRJUEROQmVCSnBuZjhNS0hSMXVCUmtSYXJ5TVBqbU0zcWtNd2N1M0pINDRqWXhicmpLeHMxS216cl8xbEEzY2VPQlJHU3BZTDB5SU9GMHNzSkpKVlBpenR4ZUZta1BZX3FWb3hzYVpqN0RSdm9rUnBzSFHSAeMBQVVfeXFMUE9aZjZqYU9rZTRPeS1GbUdoa0xtRmpmWVljNTZRNkxyYkVjZjVmRWUyNkhvcEQ5VWZaT3ktT1poTHAteW9tQlRFQTFfYWIybkFZblRrUFA4alBWTzlGdnNxWkFpRlUwMzRid0NkSG9jLVM5TXJSb0JLRDJFbEQyemw3NGxOUUhuQVpjcmdSemFPU2xhUFVsbnNTNjlncDl5aVhTVEJNdXpMeVNEcXJIWWpLVTJGUFJYYmpJM2tqRzZMSGd3OURSU3hta3FDbHRWaWRZOWJ2bEhFZlJlSVJCSF9GX28?oc=5,false,2026-01-24,google_news_rss,true,text,rules+semantic,0.055,ai:ai; gov:govt
ART-A8DA58ED85,EVT-014A439C,IN-MH,State and IIT-B building AI-based tool to flag illegal Bangladeshi nationals | Mumbai news,Hindustan Times,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQYzU2QWMzNTc0S2IzdVRUdWxVNWZ3UWx0SzktWEMyM1hRcm9wNWx6UjFVWjFMTVFnLWRLRTdITmhtN0c2MGRrWUtjYlZNQ0FqLTloY0Z1c1RaTVM0Tk1FZDh1YXBpWkJQcFI4ZnRKOFRuWk44TWF1Y0xXdlQtSVdLbFM2NjNKeFZGUE96dVBsUkJPWndyZ0JQLU5MZU5XWFJ0NmViRXpLSUFUMmR5VF9sU2xPX0NEazdRS29TOUlIVkk5VUhQcjBYVDlLbXFCLUNlR0hHOHlmUFplMEhlUHJvcdIB5gFBVV95cUxPOTJibkV5WW1jZEltRFJkYVRGT09ud1VtYkc2d2dxMmd3UnBYSHJFcE9CZjZJUE5qY2RRYlRkakoxNkZJVnZlT084MnBMcHBzNFBycld5Ym5Mck1hemZDVGN3eGVRa0gtVWpoREJaeTZuTDRYYkpjLXVMV1pvT2RSdmE0dTBOVnNBODhqYUdsbXU4Y19DdEVEbk9jQzY4UlZEbEs1ZXphVV9LeXVQTGw2Vm43ZmllT2E1QmxIOEVsTUhULVFZUWp1Y1lmRXZ5dWlkU1FkWjF2MzZSUExiSUVMVVJEV21PQQ?oc=5,false,2026-01-24,google_news_rss,false,text,rules+semantic,0.079,ai:ai|ai based; gov:state
ART-33F70BC46E,EVT-0157372E,IN-DL,PM Modi Urges Semiconductor CEOs To Support India's Next Phase Of Chip Ecosystem Growth,Free Press Journal,https://www.freepressjournal.in/business/pm-modi-urges-semiconductor-ceos-to-support-indias-next-phase-of-chip-ecosystem-growth,true,2026-09-16,gnews,true,text,rules+semantic,0.122,ai:ai; gov:minister
