event_id,state_code,state_name,city,category,sector,title,summary,event_date,date_precision,first_reported_date,primary_source_name,primary_source_url,url_resolved,source_count,actors,amount_inr_crore
EVT-640D1457,IN-DL,Delhi,Delhi,regulation_ethics,policing,Delhi HC To Hear Plea On AI Deepfake Photos Morphed With PM Modi Today - India Today,Delhi HC To Hear Plea On AI Deepfake Photos Morphed With PM Modi Today - India Today,2026-09-25,day,2026-09-25,India Today,https://news.google.com/rss/articles/CBMizAFBVV95cUxPcGJGUzA4Q1FpaE5DV1ZwaW1rSWxGZzBuZjdmVE1fM0dIaUozWkhhZXg0UnE0NjY3UlhvN2hGalFJMUN0a0Frc0Z6S2FpM2FrcHVQNFFyVG1CQUNfU3VFSFZpUk5YN3Mwc3VhT3pGVnhTbGxkNV9LbmVvbzFBcUFKRVE2eFhQVzNYaVFNdGlLbDJDQUhicXctUVk4dUJHdDdwVmYwSm5HYlI3NTI5N3o3akwwY1JFTEdjVnNWc3V4OW9CSElWNEQzT0tKWjbSAdIBQVVfeXFMTi1oaFIzX0RFUDI2LTdwMERCMUxwQUkwZGdybGtwZ2NyTmwxZV8tVWVqY2lNN2RybDBtc210VnpPUFI2TEViTnZQVDlDWFpyVWFLX3M4MVh2SzVUYjdXSi1QYjVueF9lR1BDbzExRkNMVWw1MWZ2ZjU0NDZxZGxiZ2wzNkFzUS1mQno2dU1UQXprTGRRWE5tNS1oMW1mRVF5UmlMT3JMU0NDZkJ1Tlc4cGN1UDk0cVVUMHNwRGdCTmtucEliYUw1c3MxajdacEQxMm5B?oc=5,false,2,,
EVT-6260946A,IN-TG,Telangana,,partnership,education,Deakin University of Australia and Telangana government sign MoU to advance artificial intelligence,Deakin University of Australia and Telangana government sign MoU to advance artificial intelligence,2026-09-25,day,2026-09-25,News On AIR,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNNWxCYlFIVXJVeWt4TkZkLVRZaGRlNEVrbmFDOTNqUkxqaDdvYk1udjRJOHk2VEhNRVFKQWJUQTIxb3kwbDE5SlZXblgxdktBYWJLTTZCblZvUlpaUllyTzFyQW43SkptUk4zUGgzRGx6UjlRQ3RmQ29SODVVQXR1MDFieGtJVW51RGE1Zjk2RTRKd2FqbUFzZnROSVJ5SXppVlg5azE5bTlPVklPR0xWcHZUN1NXV054a0F5WXhfMDdqR0k?oc=5,false,1,Deakin; Deakin University,
EVT-3B39EDD8,IN-DL,Delhi,Delhi,governance_deployment,agriculture,"IIIT-Delhi researchers develop AI dataset to monitor crops, predict yields using satellite data","Researchers from IIIT-Delhi and MS Swaminathan Research Foundation developed SICKLE, a multi-satellite dataset combining imagery and field data to help AI identify crops, track growth stages and predict yields.",2026-09-25,day,2026-09-25,Telangana Today,https://telanganatoday.com/iiit-delhi-researchers-develop-ai-dataset-to-monitor-crops-predict-yields-using-satellite-data,true,1,IIIT-Delhi,
EVT-B11121FE,IN-DL,Delhi,Delhi,statement_intent,,India-AI Impact Summit 2026 to commence in New Delhi tomorrow,India-AI Impact Summit 2026 to commence in New Delhi tomorrow,2026-09-25,day,2026-09-25,News On AIR,https://news.google.com/rss/articles/CBMikAFBVV95cUxNc2lrLVdqS1phY2NGMHRZYzRnZVlyUVNnRmRsU2ZhZUZNSDJKbDFicS0xV1I5Z1dzMGFIZ3RJR0JVMTU3Nm9OLXFyTm9Mei00TkpwZWFJVkNHTG00TGdoUUtraDhuQW52bkp4LTVCTElwWWI1SUx3UFdtN0c1dG9RZmQ3Uks3d2tNRFdncU5iUWo?oc=5,false,1,,
EVT-B50383F8,IN-MH,Maharashtra,,policy_mission,,"Maharashtra announces AI Policy 2026 to boost industry, governance and public services","Maharashtra announces AI Policy 2026 to boost industry, governance and public services",2026-09-25,day,2026-09-25,News On AIR,https://news.google.com/rss/articles/CBMisAFBVV95cUxQajNyWXo2alUwWHp1THhSWkFwTm5FWko3b1RfcWdmM29IZDFiQUlMTzBPcDZGZnY0MmxaU2xpNC11dUhDLUdraThNR2lvXzAwYS1Sd3FSSGxkSktwb2ZuTkxTNFhQMUVnaTV1U1RHVVpnTVc2T09KaUs1bFZTMDV0ZXNvanlkN0RmNVM2ZF8ySzhfTVMwN1NwbEZwNHdyNFBvS3hUX0xYWXJpODNSUUotYQ?oc=5,false,1,,
EVT-945BF49D,IN-TG,Telangana,Hyderabad,governance_deployment,health,AI-powered cardiac monitoring technology to launch in India on September 26,Czech health-tech firm Kardi Ai will launch its AI-powered long-term cardiac monitoring technology in India on September 26 in Hyderabad.,2026-09-25,day,2026-09-25,Eveningstandard,https://eveningstandard.in/ai-powered-cardiac-monitoring-technology-to-launch-in-india-on-september-26/,true,1,,
EVT-B16480D8,IN-GJ,Gujarat,,governance_deployment,,Gujarat introduces AI app to measure citizens’ environmental contributions,Gujarat introduces AI app to measure citizens’ environmental contributions,2026-09-24,day,2026-09-24,lokmattimes.com,https://news.google.com/rss/articles/CBMitgFBVV95cUxOWVVDaFF2VDkwZzlhNXZCWUlvWkVRbDFJTjl1b2VfdWZYUDZjcUk4ZGNBSVRhNWQxWjJmVHVKUUdWY0lsSktMeUVmbXhGZ0wzZjdsWHVsU3EzdVh3aGtvdjFaTzNDUlFmVVV4OFdHdFhVSTE4bl9lU0J5aXh2YWZlQUtzbVZNaG14QjQtWmhTMVc0bUdyZkpzRXN2ckdlRHZQUzUtNVpvOXNMLTJXMjZBR0NwLTNMQQ?oc=5,false,2,,
EVT-3739BC79,IN-MH,Maharashtra,,governance_deployment,education,Shree Refrigerations Supports AI and STEM Education in Maharashtra,Shree Refrigerations Supports AI and STEM Education in Maharashtra,2026-09-24,day,2026-09-24,Machine Maker,https://news.google.com/rss/articles/CBMiogFBVV95cUxNdkIzU1JkTGkwN2VMZWRxVHZtc3dZbi16T09vLTlEdk43NTk4MzZQbmpKSTBuQVAxcmxwejktWXNwYXZrYzlJQzVwc1o4Z2xtY0RJbDlnV2V3al8wMGcyYjQ2OG8xaHNQNmk1akk2QjRHVlNqY3pEdWZGb1RfTGY1QThpYkpXVVdzLWNiY1VJdnhvSE03VElfRTBzaVk3bC1FVmc?oc=5,false,2,,
EVT-A0ED893B,IN-KA,Karnataka,,budget_funding,,Karnataka HC upholds land acquisition to protect DRDO’s Centre for Artificial Intelligence and Robotics project area,Karnataka HC upholds land acquisition to protect DRDO’s Centre for Artificial Intelligence and Robotics project area,2026-09-24,day,2026-09-24,The Hindu,https://www.thehindu.com/news/national/karnataka/karnataka-hc-upholds-land-acquisition-to-protect-drdos-centre-for-artificial-intelligence-and-robotics-project-area/article71504091.ece,true,1,,
EVT-A8F74D6F,IN-DL,Delhi,Delhi,procurement,policing,Case lodged after woman alleges her morphed photo used at CJP's Jantar Mantar protest,"New Delhi, Sep 24 (PTI) The Delhi Police has registered an FIR after a 25-year-old woman alleged that her photograph was morphed using artificial intelligence (AI) and displayed alongside Prime Minister Narendra Modi’s…",2026-09-24,day,2026-09-24,ThePrint,https://theprint.in/india/case-lodged-after-woman-alleges-her-morphed-photo-used-at-cjps-jantar-mantar-protest/3052812/,true,1,Police,
EVT-18076998,IN-DL,Delhi,Delhi,statement_intent,,‘India is key pillar’: Delta Electronics’ leadership meets PM Modi to chart next decade of energy transition and AI,"Prime Minister Narendra Modi met Delta Electronics leadership in New Delhi to discuss the company’s India growth plans across AI infrastructure, clean energy and smart manufacturing.",2026-09-24,day,2026-09-24,Livemint,https://www.livemint.com/ai/india-is-key-pillar-delta-electronics-leadership-meets-pm-modi-to-chart-next-decade-of-energy-transition-and-ai-infa-11790237749918.html,true,1,,
EVT-746DF6B3,IN-TN,Tamil Nadu,,governance_deployment,education,Tamil Nadu’s First Agentic AI Campus Launched at SDNB Vaishnav College for Women,Tamil Nadu’s First Agentic AI Campus Launched at SDNB Vaishnav College for Women,2026-09-24,day,2026-09-24,India Education Diary,https://news.google.com/rss/articles/CBMisAFBVV95cUxQMEFFdVBCQVFWR3ZmVHNNbmpGZmYtdFQxcm04VlpGVGtFQWxaTVJ0V1ljSTk4dzFJbGpnZy1kOWZucFZBUEpEQ2swZ0pkblBtUlppVVBieHU3M2JuRlhxRURHZ0NGNUp5UkpRWjljUTVfUlpQY09ROXRJZUNacmpDY0tJYzJGbjdENTBvZmdrZlE5VlJIWDJzZFcwMHJSdml6aFF0OTRSODJOU3QyLUJQVA?oc=5,false,1,,
EVT-C1C231AD,IN-KA,Karnataka,,policy_mission,education,"Karnataka AI in Schools: How Viable Is the Plan for 1,642 Government Schools? | News18","Karnataka AI in Schools: How Viable Is the Plan for 1,642 Government Schools?",2026-09-24,day,2026-09-24,News18,https://news.google.com/rss/articles/CBMixAFBVV95cUxPTEpCSmNCN2xvQjYtZmJETmJZX3h3Y2lXYnlSRGl0V2J4Q1RGSXh4SVJ4ZjZjbDRjZTNpaVJFczUtTnBWZ2QxVjJHNzFjVHRDaGJOZ2VfdHQ4dUltLUJMSk9zczlzeW9aN1BlZlNhNy04dXBwV21reFNnV2xCS2FscmVaeWxQYWdPQVBxVjFqMFV2dlBOdlZ2ZjBOSExRcklkVDloRV9BZHN4RzU5WGo5STBWN1hHeHk0ZUZ1QjFEaVR0N1Zj0gHKAUFVX3lxTFBhOUpQa0Y3MWtQMnhDblRtWHRsdWZvTlc1SU5vcmxmd2ZZM01ndjRzN1FmM0h2UHVDSmh1dlZ5elFqRVBuSVpyS3dPcGVJMWhkSmNGaEgyanJ1cWYxYjJZR3pseWZWMXBhR2lSOTktc21XajYwcktGR2YxTXNxSVhtekJiUFlzSTJVZVRoQTFib3VydVZkdmF5Wll1LTFtUVNYY0lJMzFJMnpTTXY4YmF1OGpYOEJmc3JlQ2R6WVhuZ2N1LTlmWHp6RXc?oc=5,false,1,,
EVT-EF2B7095,IN-DL,Delhi,Delhi,institution,,Two IIT Delhi Grads Built & Sold an AI Startup in 4 Months. Now They Are Building for C++,Two IIT Delhi Grads Built & Sold an AI Startup in 4 Months.,2026-09-24,day,2026-09-24,analyticsindiamag.com,https://news.google.com/rss/articles/CBMixAFBVV95cUxNWFljVVZwSXBRSGJuQjh0UGhkSzNqdkNVX1pQdDMyS0FockxSUG5uWktOM2pTeFY1RWNMcE1rNjNYamxIS0lFS3hEcmRHaDcxNTMwMExEY1FzaHc2SG9MOHdudFJGRU1TMXFBOFVWcWs3TVRwd3FaSlI1RFVtV3l5NWd6Rkd5RDI0and1cHJKYVo5OUd5YUppNzBoTUM4RUNVVGtFZDU0eWhKT3JtVkhIZmxUbUJ1a0F3UWFpa2pEZEdtWENh?oc=5,false,1,IIT Delhi,
EVT-2C7EDA73,IN-DL,Delhi,Delhi,governance_deployment,policing,"Delhi Police Register FIR Over AI-Morphed Photos, Launch Probe","Delhi Police Register FIR Over AI-Morphed Photos, Launch Probe",2026-09-24,day,2026-09-24,The Times of India,https://news.google.com/rss/articles/CBMizwFBVV95cUxNOXpuQWQ3RG5EMGU0R1h5RUtDWHUtTS1rUHF4ZGZGamZTMTdTajcyYmM4bk1UVkpEZWhNOVlXMmpfWUhmUDB3cWstblk3RTZSaGZSRDg4QnhQdWhhTlNub2NTT0RxY200ZmZ0TWZVOXFFa3JnYzZadmFDeTdlZFhRX19ncjZhSS15cDNzSUZ0alNJMDgxUHdPU2M3cWNudDdGVXJhdE4wTk0wSGtVQ1lSdF9QSmh5RVdqZnZ0TkVnTFJDYzBoVElQQjFLZUR2N0nSAdQBQVVfeXFMT3ZBUG9IcjBnYjVnTXBaWkVxV0tCcmhVaHNDM2ltS3Zwa2VtbnR6eW50bTNGWENUY3pIeEZEdWdIcUdYY1FISnJicHdSbFdoellKRmJ2WERnYUZnYUFLdkl5NXdrZnBEZ0kxczY0S2JfbjBzVTJSZFhOV3RMNkpUa2pkdlAwSWFaRUZIS1VfdFZ4ZmprM25UNnNLT0dIOFR4WFNVRFI3eUYtT1JNVDl1QU9OREFjc09ZeHp3aXZhcUtmQnFNX3dGUDZ4V1hKVjRyTjhUQkE?oc=5,false,1,,
EVT-D9888E7B,IN-GJ,Gujarat,,governance_deployment,,Gujarat Launches AI App to Score Green Actions,Gujarat Launches AI App to Score Green Actions,2026-09-24,day,2026-09-24,theblunttimes.in,https://news.google.com/rss/articles/CBMihAFBVV95cUxPeWtLY0ZCVDRhNGVyMlI5al9tYzdXTzZmSFN4c1BvNUh4dFI4MVk4QmRtQjlCN3cyOVZZLWtFRy02NWZPQ3M5M0RTUGlXQjdQem5Ba1dsbzJCZEFwbXJzQlNBSGRmdnR6MVVlWGlqREdLWGtEZXVrQ1VFRC1KOXhJZ2lWVEg?oc=5,false,1,,
