reason,relevance_score,state_code,title,source_name,source_url,published_date,fetched_via
excluded_topic,,,How Ather powered past Ola ; Apple first foldable iPhone,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/tech-top-5/ather-powers-past-ola-electric-apple-unveils-first-foldable-iphone/articleshow/134011683.cms,2026-09-10,gdelt
excluded_topic,,,"Aug 27 : Sensex Tumbles 539 Pts , Nifty Slips Below 24 , 100 as Expiry Weigh on D - Street – The Indian Awaaz",theindianawaaz.com,https://theindianawaaz.com/aug-27-sensex-tumbles-539-pts-nifty-slips-below-24100-as-expiry-weigh-on-d-street/,2026-08-28,gdelt
excluded_topic,,,"Nifty trade above 24 , 300 in early trade ; breadth strong",business-standard.com,https://www.business-standard.com/markets/capital-market-news/nifty-trade-above-24-300-in-early-trade-breadth-strong-126082400161_1.html,2026-08-24,gdelt
excluded_topic,,,"Aug 19 : Sensex Drops 326 Pts , Nifty Below 24 , 100 ; Oil Prices , Geopolitics Rattle Investors – The Indian Awaaz",theindianawaaz.com,https://theindianawaaz.com/aug-19-sensex-drops-326-pts-nifty-below-24100-oil-prices-geopolitics-rattle-investors/,2026-08-20,gdelt
excluded_topic,,,"Free Laptops , Gold , AI Skills : Why Vijay First Tamil Nadu Budget Is Grabbing Eyeballs",newsx.com,https://www.newsx.com/india/tamil-nadu-vijay-budget-2026-key-announcements-free-laptops-gold-ai-skills-256993/,2026-08-05,gdelt
excluded_topic,,,"Free laptops , AI training , internships : Vijay government unveils youth - centric Tamil Nadu budget | Indiablooms",indiablooms.com,https://www.indiablooms.com/news/free-laptops-ai-training-internships-vijay-government-unveils-youth-centric-tamil-nadu-budget/details,2026-08-05,gdelt
excluded_topic,,,"Tamil Nadu Budget 2026 : AI skilling , laptops , Gen Z - focused schemes take centrestage",moneycontrol.com,https://www.moneycontrol.com/news/business/tamil-nadu-budget-2026-ai-skilling-laptops-gen-z-focused-schemes-take-centrestage-13995172.html,2026-08-05,gdelt
excluded_topic,,,"Stock Market Today Highlights , Sept 2 : Sensex ends 373 pts lower at 76 , 570 , Nifty below 24 , 000 ; Asian Paints , HDFC Bank fall most",thehindubusinessline.com,https://www.thehindubusinessline.com/markets/sensex-nifty50-today-stock-market-highlights-2nd-september-2026/article71416736.ece,2026-09-02,gdelt
excluded_topic,,,Who is Anima Anandkumar ? Meet the Indian AI scientist who made it to TIME AI 100 list,timesofindia.indiatimes.com,https://timesofindia.indiatimes.com/life-style/people/who-is-anima-anandkumar-meet-the-indian-ai-scientist-whos-made-it-to-times-ai-100-list/articleshow/133615653.cms,2026-08-29,gdelt
excluded_topic,,,"Sensex settles 183 pts lower ; Nifty ends below 24 , 250",business-standard.com,https://www.business-standard.com/markets/capital-market-news/sensex-settles-183-pts-lower-nifty-ends-below-24-250-126082600775_1.html,2026-08-26,gdelt
